surveyTargetID	surveyTargetValue	surveyTargetValueID	surveyTargetType	includeOrExclude
82-2-231413-2-1	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	taxon	Include
82-2-231413-2-2	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	taxon	Include
82-2-231413-2-3	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	taxon	Include
82-2-231413-3-3	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	taxon	Include
82-2-231413-4-3	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	taxon	Include
82-2-231417-1-1	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	taxon	Include
82-2-231417-1-2	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	taxon	Include
82-2-231417-1-3	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	taxon	Include
82-2-231417-2-1	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	taxon	Include
82-2-231417-2-2	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	taxon	Include
82-2-231417-2-3	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	taxon	Include
82-2-231417-3-3	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	taxon	Include
82-2-231417-4-3	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	taxon	Include
82-2-195932-1-1	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	taxon	Include
82-2-195932-1-2	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	taxon	Include
82-2-195932-1-3	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	taxon	Include
82-2-195932-2-1	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	taxon	Include
82-2-195932-2-2	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	taxon	Include
82-2-195932-2-3	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	taxon	Include
82-2-195932-3-3	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	taxon	Include
82-2-195932-4-3	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	taxon	Include
83-1-344008-1-1	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	taxon	Include
83-1-344008-1-2	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	taxon	Include
83-1-344008-1-3	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	taxon	Include
83-1-344008-2-1	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	taxon	Include
83-1-344008-2-2	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	taxon	Include
83-1-344008-2-3	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	taxon	Include
83-1-344008-3-3	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	taxon	Include
83-1-344008-4-3	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	taxon	Include
83-1-231413-1-1	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	taxon	Include
83-1-231413-1-2	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	taxon	Include
83-1-231413-1-3	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	taxon	Include
83-1-231413-2-1	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	taxon	Include
83-1-231413-2-2	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	taxon	Include
83-1-231413-2-3	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	taxon	Include
83-1-231413-3-3	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	taxon	Include
83-1-231413-4-3	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	taxon	Include
83-1-231417-1-1	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	taxon	Include
83-1-231417-1-2	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	taxon	Include
83-1-231417-1-3	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	taxon	Include
83-1-231417-2-1	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	taxon	Include
83-1-231417-2-2	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	taxon	Include
83-1-231417-2-3	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	taxon	Include
83-1-231417-3-3	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	taxon	Include
83-1-231417-4-3	Hydrurga leptonyx	urn:lsid:marinespecies.org:taxname:231417	taxon	Include
83-1-195932-1-1	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	taxon	Include
83-1-195932-1-2	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	taxon	Include
83-1-195932-1-3	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	taxon	Include
83-1-195932-2-1	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	taxon	Include
83-1-195932-2-2	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	taxon	Include
83-1-195932-2-3	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	taxon	Include
83-1-195932-3-3	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	taxon	Include
83-1-195932-4-3	Leptonychotes weddellii	urn:lsid:marinespecies.org:taxname:195932	taxon	Include
83-2-344008-1-1	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	taxon	Include
83-2-344008-1-2	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	taxon	Include
83-2-344008-1-3	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	taxon	Include
83-2-344008-2-1	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	taxon	Include
83-2-344008-2-2	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	taxon	Include
83-2-344008-2-3	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	taxon	Include
83-2-344008-3-3	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	taxon	Include
83-2-344008-4-3	Lobodon carcinophaga	urn:lsid:marinespecies.org:taxname:231416	taxon	Include
83-2-231413-1-1	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	taxon	Include
83-2-231413-1-2	Mirounga leonina	urn:lsid:marinespecies.org:taxname:231413	taxon	Include
